epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,6378.7,1.69623,0.79598,1.93017,0.97024,0.87973,0.96037,0.85282,1.20445,0.54765,1.73319,0.000295458,0.000295458,0.000295458
144,6423.15,1.72461,0.81043,1.95138,0.97203,0.87403,0.96023,0.85477,1.16324,0.54647,1.72109,0.000293624,0.000293624,0.000293624
145,6467.44,1.68628,0.81069,1.93708,0.97635,0.90475,0.99365,0.88188,1.08311,0.52381,1.71266,0.000291789,0.000291789,0.000291789
146,6511.72,1.67449,0.80794,1.93543,0.94541,0.92961,0.99276,0.89687,1.06386,0.53578,1.71552,0.000289954,0.000289954,0.000289954
147,6556.21,1.66476,0.78986,1.92494,0.93825,0.94814,0.99348,0.88971,1.1191,0.51939,1.7177,0.000288119,0.000288119,0.000288119
148,6600.86,1.67148,0.80093,1.93133,0.95993,0.92274,0.99283,0.88359,1.11152,0.54362,1.70593,0.000286284,0.000286284,0.000286284
149,6645.34,1.66244,0.79725,1.92515,0.92105,0.9708,0.99322,0.89796,1.13101,0.5329,1.70484,0.00028445,0.00028445,0.00028445
150,6689.78,1.65828,0.7951,1.92078,0.94867,0.92771,0.99366,0.89047,1.1237,0.52471,1.71972,0.000282615,0.000282615,0.000282615
151,6734,1.63269,0.76468,1.91381,0.93089,0.97918,0.99352,0.8784,1.11447,0.51771,1.70239,0.00028078,0.00028078,0.00028078
152,6778.43,1.63274,0.79214,1.92414,0.9577,0.92207,0.99294,0.89743,1.00639,0.50211,1.68462,0.000278945,0.000278945,0.000278945
153,6822.73,1.65151,0.77503,1.9153,0.95172,0.9173,0.99226,0.88511,1.09338,0.55097,1.7034,0.00027711,0.00027711,0.00027711
154,6867.11,1.66611,0.7954,1.92637,0.94495,0.9609,0.99259,0.88039,1.10982,0.54562,1.72135,0.000275276,0.000275276,0.000275276
155,6911.48,1.6324,0.76515,1.90848,0.95523,0.91761,0.99283,0.9046,1.10198,0.5364,1.70672,0.000273441,0.000273441,0.000273441
156,6955.79,1.61053,0.75895,1.89521,0.95762,0.92424,0.99346,0.9285,1.0119,0.52694,1.68908,0.000271606,0.000271606,0.000271606
157,7000.31,1.63175,0.78671,1.91259,0.94426,0.93218,0.99281,0.91341,1.05809,0.50923,1.694,0.000269771,0.000269771,0.000269771
158,7044.56,1.61818,0.7612,1.91436,0.92422,0.98148,0.99362,0.88785,1.02705,0.50412,1.69095,0.000267936,0.000267936,0.000267936
159,7088.9,1.60773,0.7617,1.90073,0.93529,0.95673,0.99328,0.90289,1.02275,0.5318,1.69221,0.000266102,0.000266102,0.000266102
160,7133.24,1.59742,0.76752,1.9045,0.92162,0.97408,0.99358,0.87694,1.07451,0.51261,1.69462,0.000264267,0.000264267,0.000264267
161,7177.6,1.58851,0.77522,1.89363,0.98279,0.89908,0.99351,0.92736,1.00911,0.51219,1.68512,0.000262432,0.000262432,0.000262432
162,7221.9,1.58036,0.75253,1.8907,0.95839,0.92883,0.99403,0.91347,1.04021,0.49226,1.68788,0.000260597,0.000260597,0.000260597
163,7266.25,1.5783,0.75473,1.88129,0.92322,0.95947,0.99306,0.91687,1.03879,0.52606,1.68472,0.000258762,0.000258762,0.000258762
164,7310.54,1.60311,0.76428,1.89575,0.89091,0.97394,0.99323,0.91547,0.97848,0.54108,1.67411,0.000256928,0.000256928,0.000256928
165,7354.91,1.58598,0.75323,1.89985,0.92978,0.97089,0.99324,0.91942,1.01763,0.51647,1.67357,0.000255093,0.000255093,0.000255093
166,7399.38,1.59057,0.75396,1.89011,0.93555,0.95973,0.99359,0.92633,1.01459,0.49582,1.67993,0.000253258,0.000253258,0.000253258
167,7443.78,1.55615,0.74044,1.88295,0.91404,0.93827,0.98723,0.9223,0.98254,0.49412,1.68163,0.000251423,0.000251423,0.000251423
168,7488.19,1.5794,0.75187,1.90209,0.90384,0.9844,0.99344,0.91702,0.97416,0.47531,1.67759,0.000249588,0.000249588,0.000249588
169,7532.53,1.56309,0.74344,1.88826,0.91397,0.98815,0.99422,0.88415,0.94532,0.46866,1.66554,0.000247754,0.000247754,0.000247754
170,7576.77,1.58497,0.7476,1.89543,0.94314,0.97186,0.99396,0.91907,0.99869,0.49408,1.671,0.000245919,0.000245919,0.000245919
171,7621.06,1.56614,0.7465,1.88697,0.94075,0.94019,0.99371,0.88865,1.02383,0.48889,1.67128,0.000244084,0.000244084,0.000244084
172,7665.41,1.55124,0.7375,1.88385,0.9246,0.97699,0.99392,0.88667,1.01312,0.49118,1.68444,0.000242249,0.000242249,0.000242249
173,7709.92,1.5312,0.73828,1.87842,0.93626,0.97841,0.99361,0.90156,0.96922,0.49646,1.68477,0.000240414,0.000240414,0.000240414
174,7754.15,1.54358,0.72857,1.87326,0.94315,0.97481,0.99341,0.90672,1.00065,0.50653,1.67807,0.00023858,0.00023858,0.00023858
175,7798.57,1.53134,0.73823,1.86329,0.93026,0.98458,0.99365,0.89163,0.99809,0.48461,1.68057,0.000236745,0.000236745,0.000236745
176,7842.97,1.53339,0.74185,1.8755,0.92102,0.986,0.99398,0.89599,0.94668,0.48358,1.65506,0.00023491,0.00023491,0.00023491
177,7887.35,1.51695,0.72226,1.8681,0.94369,0.98732,0.99394,0.90835,0.96525,0.47615,1.66269,0.000233075,0.000233075,0.000233075
178,7931.75,1.55492,0.73208,1.8849,0.9469,0.98251,0.99397,0.8871,0.97541,0.47533,1.67297,0.00023124,0.00023124,0.00023124
179,7976.09,1.5031,0.72826,1.86626,0.95767,0.98961,0.99386,0.89193,0.97391,0.48339,1.66338,0.000229406,0.000229406,0.000229406
180,8020.5,1.53495,0.73002,1.87109,0.96028,0.98453,0.99414,0.90081,0.99404,0.47131,1.66534,0.000227571,0.000227571,0.000227571
